             Mean	          Average	          Std dev	          Mimimum	          Maximum	# Occurances	# Books	Lettertriplets
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	AAW
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	E Ε
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	HSF
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	IFD
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	N Φ
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	S Κ
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	ΑΙΝ
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	ΑΛΑ
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	ΑΛΛ
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	ΑΝΙ
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	ΑΠΗ
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	ΑΣΑ
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	ΒΟΣ
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	ΒΟΩ
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	ΕΤΟ
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	Η Β
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	ΗΛΙ
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	ΗΜΩ
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	ΗΝ 
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	ΗΣΩ
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	Ι I
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	Ι Ζ
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	Ι Η
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	Ι Τ
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	ΙΜΑ
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	ΙΜΟ
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	ΙΣΜ
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	ΚΥΡ
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	ΛΑΜ
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	ΛΕΙ
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	ΛΙΟ
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	ΜΑ 
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	ΜΟΣ
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	ΜΩΙ
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	Ν T
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	ΝΙΣ
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	ΝΟΥ
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	ΟΙΣ
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	ΟΤΑ
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	ΟΤΙ
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	ΟΥΔ
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	ΟΥΤ
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	ΟΨΙ
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	ΟΩΝ
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	ΠΑΡ
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	ΡΙΟ
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	Σ Π
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	ΣΑΝ
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	ΣΑΣ
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	ΣΗΙ
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	ΣΙΝ
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	ΣΜΟ
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	ΣΩΜ
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	ΤΗΝ
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	ΤΟ 
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	ΥΔΕ
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	ΥΡΙ
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	ΦΩΝ
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	ΩΙ 
0.00000000000000000	0.00000001117814271	0.00000012193914077	0.00000000000000000	0.00000134137712483	  1	120	ΩΜΕ
